"dataset","scenario","v24_psnr","v25_psnr","delta_psnr","v24_ssim","v25_ssim","delta_ssim","v24_ms","v25_ms"
"pcm","defocus_medium","26.9824779150849","27.0164362511922","0.0339583361073075","0.794655967331091","0.795862534188277","0.00120656685718634","115.488672847229","117.296197020249"
"pcm","lowlight_medium","32.1722373698102","32.2300368239417","0.0577994541314766","0.904200821917578","0.907755503986056","0.00355468206847742","115.878548675353","117.132151655559"
"pcm","motion_horizontal_medium","27.7638438021788","27.8034376468122","0.0395938446333659","0.83362065877346","0.834724245876666","0.00110358710320579","115.458005629351","117.734028476704"
"pothole","defocus_medium","24.7566746630634","24.7400039025455","-0.0166707605179042","0.630173336694585","0.63041637319932","0.000243036504735228","100.713090374095","102.231268983902"
"pothole","lowlight_medium","29.1919086823582","29.1864470733947","-0.00546160896352177","0.856168486536505","0.856361759856423","0.000193273319917586","100.761416577827","103.642235829026"
"pothole","motion_horizontal_medium","25.4142193905192","25.3750797355249","-0.0391396549943046","0.695657912103887","0.697673406989817","0.00201549488592923","103.198709090805","105.687745454607"
